circuitId;circuitRef;name;location;country;lat;lng;alt;url;flag_url;picture_url
1;albert_park;Albert Park Grand Prix Circuit;Melbourne;Australia;-378497;144968;10;http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit;https://www.worldometers.info//img/flags/small/tn_as-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Albert_Lake_Park_Street_Circuit_in_Melbourne%2C_Australia.svg/1280px-Albert_Lake_Park_Street_Circuit_in_Melbourne%2C_Australia.svg.png
2;sepang;Sepang International Circuit;Kuala Lumpur;Malaysia;276083;101738;18;http://en.wikipedia.org/wiki/Sepang_International_Circuit;https://www.worldometers.info//img/flags/small/tn_my-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sepang.svg/1024px-Sepang.svg.png
3;bahrain;Bahrain International Circuit;Sakhir;Bahrain;260325;505106;7;http://en.wikipedia.org/wiki/Bahrain_International_Circuit;https://www.worldometers.info//img/flags/small/tn_ba-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/1280px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png
4;catalunya;Circuit de Barcelona-Catalunya;Montmeló;Spain;41.57;226111;109;http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya;https://www.worldometers.info//img/flags/small/tn_sp-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Formula1_Circuit_Catalunya_2021.svg/1920px-Formula1_Circuit_Catalunya_2021.svg.png
5;istanbul;Istanbul Park;Istanbul;Turkey;409517;29405;130;http://en.wikipedia.org/wiki/Istanbul_Park;https://www.worldometers.info//img/flags/small/tn_tu-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/1280px-Istanbul_park.svg.png
6;monaco;Circuit de Monaco;Monte-Carlo;Monaco;437347;742056;7;http://en.wikipedia.org/wiki/Circuit_de_Monaco;https://www.worldometers.info//img/flags/small/tn_mn-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/1280px-Monte_Carlo_Formula_1_track_map.svg.png
7;villeneuve;Circuit Gilles Villeneuve;Montreal;Canada;45.5;-735228;13;http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve;https://www.worldometers.info//img/flags/small/tn_ca-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg/1280px-%C3%8Ele_Notre-Dame_%28Circuit_Gilles_Villeneuve%29.svg.png
8;magny_cours;Circuit de Nevers Magny-Cours;Magny Cours;France;468642;316361;228;http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Nevers_Magny-Cours.svg/1280px-Circuit_de_Nevers_Magny-Cours.svg.png
9;silverstone;Silverstone Circuit;Silverstone;UK;520786;-101694;153;http://en.wikipedia.org/wiki/Silverstone_Circuit;https://www.worldometers.info//img/flags/small/tn_uk-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Silverstone_Circuit_vector_map.png/1280px-Silverstone_Circuit_vector_map.png
10;hockenheimring;Hockenheimring;Hockenheim;Germany;493278;856583;103;http://en.wikipedia.org/wiki/Hockenheimring;https://www.worldometers.info//img/flags/small/tn_gm-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hockenheim2012.svg/1024px-Hockenheim2012.svg.png
